controller_id,corridor_number,intersection_name,ip
8033100,25,CSAH 25 (County Road 25) at Beltline Blvd / Ottowa Ave S BACKHAUL,192.168.131.232
8033100,25,CSAH 25 (County Road 25) at Beltline Blvd / Ottowa Ave S BACKHAUL,192.168.131.239
8033150,25,CSAH 25 at Lynn,192.168.136.232
8003900,53,CSAH 53 (66th St) at 12th Ave S,192.168.37.50
8033150,25,CSAH 25 at Lynn,192.168.136.239
8033200,5,CSAH 5 (Minnetonka Blvd) at CSAH 25 (County Road 25),192.168.113.40
8033200,5,CSAH 5 (Minnetonka Blvd) at CSAH 25 (County Road 25),192.168.113.47
8033300,88,CSAH 88 (New Brighton Blvd) at St Anthony Blvd,192.168.137.104
8033300,88,CSAH 88 (New Brighton Blvd) at St Anthony Blvd,192.168.137.111
8033400,88,CSAH 88 (New Brighton Blvd) at CSAH 94 (29th Ave NE),192.168.137.136
8033400,88,CSAH 88 (New Brighton Blvd) at CSAH 94 (29th Ave NE),192.168.137.143
8033500,136,CSAH 136 (Silver Lake Rd) at St Anthony Blvd,192.168.137.72
8033500,136,CSAH 136 (Silver Lake Rd) at St Anthony Blvd,192.168.137.79
8033600,81,CSAH 81 (Broadway Ave) at Abbott Ave N,192.168.27.40
8033600,81,CSAH 81 (Broadway Ave) at Abbott Ave N,192.168.27.47
8033700,81,CSAH 81 (Bottineau Blvd) at 36th Ave N,192.168.43.232
8033700,81,CSAH 81 (Bottineau Blvd) at 36th Ave N,192.168.43.239
8004000,53,CSAH 53 (66th St) at Bloomington Ave S - Master Controller,192.168.37.75
8033800,81,CSAH 81 (Bottineau Blvd) at 40th Ave N,192.168.43.200
8033800,81,CSAH 81 (Bottineau Blvd) at 40th Ave N,192.168.43.207
8033900,81,CSAH 81 (Bottineau Blvd) at 41st Ave N,192.168.43.168
8033900,81,CSAH 81 (Bottineau Blvd) at 41st Ave N,192.168.43.175
8034000,81,CSAH 9 (42nd Ave) at CSAH 81 (Bottineau Blvd),192.168.43.136
8034000,81,CSAH 9 (42nd Ave) at CSAH 81 (Bottineau Blvd),192.168.43.143
8034100,81,CSAH 10 (Bass Lake Rd / 56th Ave N) at CSAH 81 (Bottineau Blvd),192.168.43.8
8004000,53,CSAH 53 (66th St) at Bloomington Ave S - Master Controller,192.168.37.82
8034100,81,CSAH 10 (Bass Lake Rd / 56th Ave N) at CSAH 81 (Bottineau Blvd),192.168.43.15
8034200,81,CSAH 81 (Bottineau Blvd) at 63rd Ave N,192.168.42.232
8034200,81,CSAH 81 (Bottineau Blvd) at 63rd Ave N,192.168.42.239
8034300,81,CSAH 8 (71st Ave) at CSAH 81 (Bottineau Blvd) BACKHAUL,192.168.42.200
8034300,81,CSAH 8 (71st Ave) at CSAH 81 (Bottineau Blvd) BACKHAUL,192.168.42.207
8034400,81,CSAH 81 (Bottineau Blvd) at 73rd Ave N BACKHAUL,192.168.42.168
8034400,81,CSAH 81 (Bottineau Blvd) at 73rd Ave N BACKHAUL,192.168.42.175
8034500,130,CSAH 81 (Bottineau Blvd) at CSAH 130 / CSAH 152 (Brooklyn Blvd),192.168.33.43
8034500,130,CSAH 81 (Bottineau Blvd) at CSAH 130 / CSAH 152 (Brooklyn Blvd),192.168.33.50
8034700,81,CSAH 81 (Bottineau Blvd) at CSAH 109 (85th Ave N) - Master Controller,192.168.30.235
8034700,81,CSAH 81 (Bottineau Blvd) at CSAH 109 (85th Ave N) - Master Controller,192.168.30.242
8004200,52,CSAH 52 (Nicollet Ave) at 70th St,192.168.126.104
8034800,30,CSAH 30 (93rd Ave) at CSAH 81 (County Road 81),192.168.26.10
8034800,30,CSAH 30 (93rd Ave) at CSAH 81 (County Road 81),192.168.26.17
8034900,81,CSAH 81 (Bottineau Blvd) at CSAH 121 (Fernbrook Ln),192.168.30.75
8034900,81,CSAH 81 (Bottineau Blvd) at CSAH 121 (Fernbrook Ln),192.168.30.82
8035000,81,CSAH 13 (Brockton Lane) at CSAH 81 (Industrial Blvd) / CSAH 101 (County Road 101),192.168.29.242
8035100,101,CSAH 101 (Central Ave) at Wayzata Blvd - Master Controller,192.168.130.8
8004200,52,CSAH 52 (Nicollet Ave) at 70th St,192.168.126.111
8035100,101,CSAH 101 (Central Ave) at Wayzata Blvd - Master Controller,192.168.130.15
8035300,6,CSAH 6 (County Road 6) at CSAH 101 (Central Ave),192.168.26.203
8035300,6,CSAH 6 (County Road 6) at CSAH 101 (Central Ave),192.168.26.210
8035600,3,CSAH 3 (Excelsior Blvd) at CSAH 17 (France Ave),192.168.54.168
8035600,3,CSAH 3 (Excelsior Blvd) at CSAH 17 (France Ave),192.168.54.175
8035700,81,CSAH 81 (Bottineau Blvd) at Corvalis Ave N,192.168.43.72
8035700,81,CSAH 81 (Bottineau Blvd) at Corvalis Ave N,192.168.43.79
8035800,9,CSAH 9 (Rockford / 42nd) at Nevada Ave,192.168.115.200
8035800,9,CSAH 9 (Rockford / 42nd) at Nevada Ave,192.168.115.207
8036200,10,CSAH 10 (Bass Lake Rd) at Wedgwood Rd / 63RD Ave N,192.168.45.8
8036200,10,CSAH 10 (Bass Lake Rd) at Wedgwood Rd / 63RD Ave N,192.168.45.15
8036300,9,CSAH 9 (42nd Ave N) at Gettysburg Ln,192.168.115.40
8036300,9,CSAH 9 (42nd Ave N) at Gettysburg Ln,192.168.115.47
8004300,52,CSAH 52 (Nicollet Ave) at 76th St,192.168.126.136
8036500,61,CSAH 61 (Shady Oak Rd) at City West Pkwy (S Jct) / Bryant Lk Dr,192.168.42.40
8036500,61,CSAH 61 (Shady Oak Rd) at City West Pkwy (S Jct) / Bryant Lk Dr,192.168.42.47
8036600,15,CSAH 15 (Lynwood Blvd) at CSAH 110 (Commerce Blvd),192.168.128.136
8036600,15,CSAH 15 (Lynwood Blvd) at CSAH 110 (Commerce Blvd),192.168.128.143
8036700,109,CSAH 109 (85th Ave N) at Xylon Ave N,192.168.20.171
8036700,109,CSAH 109 (85th Ave N) at Xylon Ave N,192.168.20.178
8036800,101,CSAH 101 (County Rd 101) at Harmony Circle / 1st Ave,192.168.130.104
8036800,101,CSAH 101 (County Rd 101) at Harmony Circle / 1st Ave,192.168.130.111
8036900,61,CSAH 61 (Xenium Ln N) at Industrial Park Blvd,192.168.38.235
8036900,61,CSAH 61 (Xenium Ln N) at Industrial Park Blvd,192.168.38.242
8037000,152,CSAH 152 (Brooklyn Blvd) at Cub Foods Driveway,192.168.33.139
8004300,52,CSAH 52 (Nicollet Ave) at 76th St,192.168.126.143
8037000,152,CSAH 152 (Brooklyn Blvd) at Cub Foods Driveway,192.168.33.146
8037100,103,CSAH 103 (West Broadway) at Rainbow Foods Driveway,192.168.51.72
8037100,103,CSAH 103 (West Broadway) at Rainbow Foods Driveway,192.168.51.79
8037200,1,CSAH 1 (Pioneer Trail) at CSAH 4 W Jct (Eden Prairie Rd),192.168.122.104
8037200,1,CSAH 1 (Pioneer Trail) at CSAH 4 W Jct (Eden Prairie Rd),192.168.122.111
8037300,1,CSAH 1 (Pioneer Trail) at Homeward Hills Rd,192.168.122.200
8037300,1,CSAH 1 (Pioneer Trail) at Homeward Hills Rd,192.168.122.207
8037400,1,CSAH 1 (Pioneer Trail) at Franlo Rd BACKHAUL,192.168.123.8
8037400,1,CSAH 1 (Pioneer Trail) at Franlo Rd BACKHAUL,192.168.123.15
8004400,32,CSAH 32 (Penn Ave) at 76th St W,192.168.19.104
8037500,61,CSAH 61 (Plymouth Rd) at Sherwood Place / Regency Woods Apartments,192.168.39.203
8037500,61,CSAH 61 (Plymouth Rd) at Sherwood Place / Regency Woods Apartments,192.168.39.210
8037600,158,CSAH 158 (Vernon Ave) at Eden Ave / Vernon Terrace,192.168.131.168
8037600,158,CSAH 158 (Vernon Ave) at Eden Ave / Vernon Terrace,192.168.131.175
8038000,30,CSAH 30 (93rd Ave) at Fernbrook Ln N,192.168.25.203
8038000,30,CSAH 30 (93rd Ave) at Fernbrook Ln N,192.168.25.210
8038100,4,CSAH 4 (Eden Prairie Rd) at Wagner Way,192.168.133.40
8004400,32,CSAH 32 (Penn Ave) at 76th St W,192.168.19.111
8038100,4,CSAH 4 (Eden Prairie Rd) at Wagner Way,192.168.133.47
8038200,30,CSAH 30 (93rd Ave) at Jefferson Hwy / Central Ave,192.168.26.75
8038200,30,CSAH 30 (93rd Ave) at Jefferson Hwy / Central Ave,192.168.26.82
8038300,152,CSAH 152 (Brooklyn Blvd) at Unity Ave N,192.168.22.235
8038300,152,CSAH 152 (Brooklyn Blvd) at Unity Ave N,192.168.22.242
8038400,6,CSAH 6 (County Road 6) at Niagara Ln,192.168.28.43
8038400,6,CSAH 6 (County Road 6) at Niagara Ln,192.168.28.50
8038600,9,CSAH 9 (Rockford Rd) at Vinewood Ln,192.168.114.168
8038600,9,CSAH 9 (Rockford Rd) at Vinewood Ln,192.168.114.175
8038700,9,CSAH 9 (Rockford Rd) at Annapolis Ln / Berkshire Ln,192.168.114.136
8038700,9,CSAH 9 (Rockford Rd) at Annapolis Ln / Berkshire Ln,192.168.114.143
8038800,10,CSAH 10 (Bass Lake Rd) at Nathan Ln,192.168.45.168
8038800,10,CSAH 10 (Bass Lake Rd) at Nathan Ln,192.168.45.175
8004500,1,CSAH 1 (Old Shakopee Rd / 98th St) at Lyndale Ave,192.168.48.136
8038900,61,CSAH 61 (Hemlock Lane) at 69th Ave N,192.168.37.107
8038900,61,CSAH 61 (Hemlock Lane) at 69th Ave N,192.168.37.114
8039000,81,CSAH 81 (County Road 81) at CR 202 (Zachary Lane),192.168.30.171
8039000,81,CSAH 81 (County Road 81) at CR 202 (Zachary Lane),192.168.30.178
8039100,19,CSAH 19 (Oak St) at Water St,192.168.128.200
8039100,19,CSAH 19 (Oak St) at Water St,192.168.128.207
8039200,61,CSAH 61 (Hemlock Lane) at E Fish Lake Rd,192.168.37.170
8004500,1,CSAH 1 (Old Shakopee Rd / 98th St) at Lyndale Ave,192.168.48.143
8039200,61,CSAH 61 (Hemlock Lane) at E Fish Lake Rd,192.168.37.177
8039300,61,CSAH 61 (Shady Oak Rd) at K-tel Dr BACKHAUL,192.168.28.171
8039300,61,CSAH 61 (Shady Oak Rd) at K-tel Dr BACKHAUL,192.168.28.178
8039400,130,CSAH 130 (77th Ave N) at Jefferson Hwy / Kilmer Ln - Master Controller,192.168.32.203
8039400,130,CSAH 130 (77th Ave N) at Jefferson Hwy / Kilmer Ln - Master Controller,192.168.32.210
8039500,102,CSAH 102 (Douglas Dr N) at TH 55 (N Frontage Rd),192.168.15.168
8039500,102,CSAH 102 (Douglas Dr N) at TH 55 (N Frontage Rd),192.168.15.175
8039600,61,CSAH 61 (Plymouth Rd) at Cedar Lake Rd,192.168.40.232
8039600,61,CSAH 61 (Plymouth Rd) at Cedar Lake Rd,192.168.40.239
8039700,81,CSAH 81 (Bottineau Blvd) at Greenhaven Dr / Lakeland Ave,192.168.42.104
8039700,81,CSAH 81 (Bottineau Blvd) at Greenhaven Dr / Lakeland Ave,192.168.42.111
8039800,14,CSAH 14 (Douglas Dr) at 109th Ave N - Master Controller,192.168.21.204
8039800,14,CSAH 14 (Douglas Dr) at 109th Ave N - Master Controller,192.168.21.211
8004600,32,CSAH 32 (Penn Ave) at 75th St W,192.168.19.72
8039900,27,CSAH 27 (Stinson Blvd NE) at 37th Ave NE,192.168.137.200
8039900,27,CSAH 27 (Stinson Blvd NE) at 37th Ave NE,192.168.137.207
8040000,101,CSAH 101 (Central Ave) at 14th Ave N - Master Controller,192.168.20.75
8040000,101,CSAH 101 (Central Ave) at 14th Ave N - Master Controller,192.168.20.82
8040100,109,CSAH 103 (West Broadway) at CSAH 109 (85th Ave N),192.168.20.107
8040100,109,CSAH 103 (West Broadway) at CSAH 109 (85th Ave N),192.168.20.114
8040200,109,CSAH 109 (85th Ave N) at NHCC Entrance - Master Controller,192.168.20.203
8004600,32,CSAH 32 (Penn Ave) at 75th St W,192.168.19.79
8040200,109,CSAH 109 (85th Ave N) at NHCC Entrance - Master Controller,192.168.20.210
8040300,10,CSAH 10 (Bass Lake Rd) at Quinwood Ln,192.168.45.72
8040300,10,CSAH 10 (Bass Lake Rd) at Quinwood Ln,192.168.45.79
8040400,61,CSAH 61 (Shady Oak Rd) at Main St,192.168.41.72
8040400,61,CSAH 61 (Shady Oak Rd) at Main St,192.168.41.79
8040500,62,CSAH 62 (Townline  Rd / 62nd St W) at Glen Lake Blvd,192.168.135.136
8040500,62,CSAH 62 (Townline  Rd / 62nd St W) at Glen Lake Blvd,192.168.135.143
8040600,62,CSAH 62 (Townline Rd) at S Frontage Rd / W 62nd St,192.168.135.168
8040600,62,CSAH 62 (Townline Rd) at S Frontage Rd / W 62nd St,192.168.135.175
8040800,81,CSAH 81 (Bottineau Blvd) at Wilshire Blvd,192.168.43.40
8040800,81,CSAH 81 (Bottineau Blvd) at Wilshire Blvd,192.168.43.47
8041000,130,CSAH 130 (Elm Creek Blvd) at 89th Ave N,192.168.31.107
8041000,130,CSAH 130 (Elm Creek Blvd) at 89th Ave N,192.168.31.114
8004700,35,CSAH 35 (Portland Ave) at 70th St E,192.168.127.104
8041700,61,CSAH 10 (Bass Lake Rd) at CSAH 61 (Northwest Blvd),192.168.37.235
8041700,61,CSAH 10 (Bass Lake Rd) at CSAH 61 (Northwest Blvd),192.168.37.242
8041800,103,CSAH 103 (West Broadway) at 84th Ave N (College Entr),192.168.20.139
8041800,103,CSAH 103 (West Broadway) at 84th Ave N (College Entr),192.168.20.146
8042100,130,CSAH 130 (Elm Creek Blvd) at Grove Dr,192.168.31.203
8042100,130,CSAH 130 (Elm Creek Blvd) at Grove Dr,192.168.31.210
8042200,109,CSAH 109 (85th Ave N) at Regent Ave N,192.168.20.235
8004700,35,CSAH 35 (Portland Ave) at 70th St E,192.168.127.111
8042200,109,CSAH 109 (85th Ave N) at Regent Ave N,192.168.20.242
8042300,109,CSAH 109 (85th Ave N) at Xerxes Ave N,192.168.17.40
8042300,109,CSAH 109 (85th Ave N) at Xerxes Ave N,192.168.17.47
8042400,130,CSAH 130 (77th Ave N) at Northland Dr N,192.168.32.235
8042400,130,CSAH 130 (77th Ave N) at Northland Dr N,192.168.32.242
8042500,5,CSAH 5 (Minnetonka Blvd) at CSAH 60 (Baker Rd),192.168.134.40
8042500,5,CSAH 5 (Minnetonka Blvd) at CSAH 60 (Baker Rd),192.168.134.47
8042600,152,CSAH 152 (Brooklyn Blvd) at Jolly Lane,192.168.33.107
8042600,152,CSAH 152 (Brooklyn Blvd) at Jolly Lane,192.168.33.114
8042700,152,CSAH 152 (Brooklyn Blvd) at Kentucky Ave N BACKHAUL,192.168.33.203
8042700,152,CSAH 152 (Brooklyn Blvd) at Kentucky Ave N BACKHAUL,192.168.33.210
8042800,61,CSAH 61 (Northwest Blvd) at Campus Dr,192.168.38.170
8042800,61,CSAH 61 (Northwest Blvd) at Campus Dr,192.168.38.177
8004800,101,CSAH 5 (Minnetonka Blvd) at CSAH 101 BACKHAUL,192.168.130.136
8042900,61,CSAH 61 (Shady Oak Rd) at City West Pkwy (N Jct),192.168.42.8
8042900,61,CSAH 61 (Shady Oak Rd) at City West Pkwy (N Jct),192.168.42.15
8043200,30,CSAH 30 (93rd Ave) at CR 202 (Zachary Lane) - Master Controller,192.168.26.43
8043200,30,CSAH 30 (93rd Ave) at CR 202 (Zachary Lane) - Master Controller,192.168.26.50
8043600,32,CSAH 32 (Penn Ave) at 7900 Driveway,192.168.19.168
8043600,32,CSAH 32 (Penn Ave) at 7900 Driveway,192.168.19.175
8043800,10,CSAH 10 (Bass Lake Rd) at International Pkwy / Gettysburg Ave,192.168.45.200
8004800,101,CSAH 5 (Minnetonka Blvd) at CSAH 101 BACKHAUL,192.168.130.143
8043800,10,CSAH 10 (Bass Lake Rd) at International Pkwy / Gettysburg Ave,192.168.45.207
8043900,3,CSAH 3 (Excelsior Blvd) at Williston Rd,192.168.52.8
8043900,3,CSAH 3 (Excelsior Blvd) at Williston Rd,192.168.52.15
8044000,4,CSAH 4 (Eden Prairie Rd) at Glen Lake Blvd/ Williams Ln ,192.168.132.200
8044000,4,CSAH 4 (Eden Prairie Rd) at Glen Lake Blvd/ Williams Ln ,192.168.132.207
8044200,3,CSAH 3 (Excelsior Blvd) at Park Nicollet Blvd BACKHAUL,192.168.54.40
8044200,3,CSAH 3 (Excelsior Blvd) at Park Nicollet Blvd BACKHAUL,192.168.54.47
8044500,52,CSAH 52 (Nicollet Ave) at 77th St,192.168.126.168
8044500,52,CSAH 52 (Nicollet Ave) at 77th St,192.168.126.175
8044600,1,CSAH 1 (Old Shakopee Rd) at Nesbitt Ave,192.168.47.168
8044600,1,CSAH 1 (Old Shakopee Rd) at Nesbitt Ave,192.168.47.175
8044800,61,CSAH 61 (Xenium Ln N) at 24th Ave N,192.168.38.203
8044800,61,CSAH 61 (Xenium Ln N) at 24th Ave N,192.168.38.210
8005200,10,CSAH 10 (Bass Lake Rd) at Xerxes Ave N,192.168.46.168
8044900,62,CSAH 62 (Townline Rd / 62nd St W) at CSAH 101 (Dell Rd),192.168.135.40
8044900,62,CSAH 62 (Townline Rd / 62nd St W) at CSAH 101 (Dell Rd),192.168.135.47
8045000,62,CSAH 62 (Townline Rd/ 62nd St W) at Scenic Hts Dr / Chatham Way,192.168.135.72
8045000,62,CSAH 62 (Townline Rd/ 62nd St W) at Scenic Hts Dr / Chatham Way,192.168.135.79
8045100,62,CSAH 62 (Townline Rd / 62nd St W) at Woodland Rd / Ginger Dr,192.168.135.104
8045100,62,CSAH 62 (Townline Rd / 62nd St W) at Woodland Rd / Ginger Dr,192.168.135.111
8045200,5,CSAH 5 (Minnetonka Blvd) at I-494 E Ramp,192.168.134.8
8005200,10,CSAH 10 (Bass Lake Rd) at Xerxes Ave N,192.168.46.175
8045200,5,CSAH 5 (Minnetonka Blvd) at I-494 E Ramp,192.168.134.15
8045400,130,CSAH 130 (West Broadway) at 76th Ave N,192.168.51.104
8045400,130,CSAH 130 (West Broadway) at 76th Ave N,192.168.51.111
8045500,130,CSAH 130 (69th Ave N) at Zane Ave N,192.168.47.40
8045500,130,CSAH 130 (69th Ave N) at Zane Ave N,192.168.47.47
8045600,30,CSAH 30 (93rd Ave) at Winnetka Ave N / Wyoming Ave N,192.168.18.168
8045600,30,CSAH 30 (93rd Ave) at Winnetka Ave N / Wyoming Ave N,192.168.18.175
8045700,101,CSAH 101 (Troy Lane) at 89th Ave N,192.168.15.8
8045700,101,CSAH 101 (Troy Lane) at 89th Ave N,192.168.15.15
8045900,35,CSAH 35 (Portland Ave) at 77th St E,192.168.127.168
8045900,35,CSAH 35 (Portland Ave) at 77th St E,192.168.127.175
8046000,130,CSAH 130 (Elm Creek Blvd) at 80th Circle,192.168.31.235
8046000,130,CSAH 130 (Elm Creek Blvd) at 80th Circle,192.168.31.242
8005400,5,CSAH 5 (Minnetonka Blvd) at Hampshire Ave S,192.168.112.136
8046100,130,CSAH 130 (Elm Creek Blvd) at Vinewood Ln,192.168.32.8
8046100,130,CSAH 130 (Elm Creek Blvd) at Vinewood Ln,192.168.32.15
8046500,101,CSAH 16 (McGinty Rd West) at CSAH 101 (Bushway Rd),192.168.130.72
8046500,101,CSAH 16 (McGinty Rd West) at CSAH 101 (Bushway Rd),192.168.130.79
8046600,101,CSAH 101 at Lake Street Extension,192.168.130.168
8046600,101,CSAH 101 at Lake Street Extension,192.168.130.175
8046900,101,CSAH 15 (Gleason Lake Rd) at 101 (Bushway Rd) / TH 12 EB Ramp,192.168.130.40
8005400,5,CSAH 5 (Minnetonka Blvd) at Hampshire Ave S,192.168.112.143
8046900,101,CSAH 15 (Gleason Lake Rd) at 101 (Bushway Rd) / TH 12 EB Ramp,192.168.130.47
8047000,110,CSAH 110 (Commerce Blvd) at Three Points Blvd,192.168.129.8
8047000,110,CSAH 110 (Commerce Blvd) at Three Points Blvd,192.168.129.15
8047100,130,CSAH 130 (Elm Creek Blvd) at Maple Knoll Way,192.168.31.139
8047100,130,CSAH 130 (Elm Creek Blvd) at Maple Knoll Way,192.168.31.146
8047200,101,CSAH 101 (Chanhassen Rd) at Hanus Rd / School Entr,192.168.131.40
8047200,101,CSAH 101 (Chanhassen Rd) at Hanus Rd / School Entr,192.168.131.47
8047300,109,CSAH 109 (Weaver Lake Rd) at Vinewood Ln BACKHAUL,192.168.16.72
8047300,109,CSAH 109 (Weaver Lake Rd) at Vinewood Ln BACKHAUL,192.168.16.79
8047400,109,CSAH 109 (Weaver Lake Rd) at Pineview Ln,192.168.16.104
8047400,109,CSAH 109 (Weaver Lake Rd) at Pineview Ln,192.168.16.111
8047600,81,CSAH 81 (Bottineau Blvd) at 79th Ave N,192.168.42.136
8047600,81,CSAH 81 (Bottineau Blvd) at 79th Ave N,192.168.42.143
8005600,3,CSAH 3 (Excelsior Blvd) at Hospital Dr ,192.168.53.168
8047700,31,CSAH 31 (York Ave) at Southdale Exit,192.168.134.72
8047700,31,CSAH 31 (York Ave) at Southdale Exit,192.168.134.79
8048100,4,CSAH 4 (Eden Prairie Rd) at Scenic Heights Rd,192.168.133.136
8048100,4,CSAH 4 (Eden Prairie Rd) at Scenic Heights Rd,192.168.133.143
8048400,8,CSAH 8 (West Broadway) at 57th Ave N,192.168.29.107
8048400,8,CSAH 8 (West Broadway) at 57th Ave N,192.168.29.114
8048500,1,CSAH 1 (Pioneer Trail) at Mitchell Rd,192.168.122.136
8005600,3,CSAH 3 (Excelsior Blvd) at Hospital Dr ,192.168.53.175
8048500,1,CSAH 1 (Pioneer Trail) at Mitchell Rd,192.168.122.143
8048600,6,CSAH 6 (County Road 6) at Annapolis Ln,192.168.28.107
8048600,6,CSAH 6 (County Road 6) at Annapolis Ln,192.168.28.114
8048700,109,CSAH 109 (85th Ave N) at Logan Ave N/ Edinbugh Center Dr,192.168.17.104
8048700,109,CSAH 109 (85th Ave N) at Logan Ave N/ Edinbugh Center Dr,192.168.17.111
8048800,4,CSAH 4 (Eden Prairie Rd) at Edenwood Dr BACKHAUL,192.168.132.232
8048800,4,CSAH 4 (Eden Prairie Rd) at Edenwood Dr BACKHAUL,192.168.132.239
8048900,53,CSAH 53 (66th St) at Southdale Exit,192.168.26.139
8048900,53,CSAH 53 (66th St) at Southdale Exit,192.168.26.146
8049000,3,CSAH 3 (Excelsior Blvd) at CSAH 101 (County Rd 101),192.168.51.200
8049000,3,CSAH 3 (Excelsior Blvd) at CSAH 101 (County Rd 101),192.168.51.207
8049100,101,CSAH 101 (County Rd 101) at Hutchins Dr,192.168.131.8
8049100,101,CSAH 101 (County Rd 101) at Hutchins Dr,192.168.131.15
8005700,17,CSAH 17 (France Ave) at 65th St W,192.168.33.235
8049200,101,CSAH 101 (County Rd 101) at Seven Hi Drive (Cub Foods),192.168.130.232
8049200,101,CSAH 101 (County Rd 101) at Seven Hi Drive (Cub Foods),192.168.130.239
8049300,130,CSAH 61 (Hemlock Lane) at CSAH 130 (Elm Creek Blvd),192.168.33.75
8049300,130,CSAH 61 (Hemlock Lane) at CSAH 130 (Elm Creek Blvd),192.168.33.82
8049400,4,CSAH 4 (Eden Paririe Rd) at Timber Lake Dr / Lincoln Ln,192.168.133.104
8049400,4,CSAH 4 (Eden Paririe Rd) at Timber Lake Dr / Lincoln Ln,192.168.133.111
8049500,4,CSAH 4 (Eden Prairie Rd) at Candlewood Pkwy,192.168.133.168
8005700,17,CSAH 17 (France Ave) at 65th St W,192.168.33.242
8049500,4,CSAH 4 (Eden Prairie Rd) at Candlewood Pkwy,192.168.133.175
8049700,4,CSAH 4 (Eden Prairie Rd) at Terry Pine Dr,192.168.133.72
8049700,4,CSAH 4 (Eden Prairie Rd) at Terry Pine Dr,192.168.133.79
8049800,24,CSAH 24 (County Rd 24) at Shopping Center Entrance (Plymouth Station),192.168.125.232
8049800,24,CSAH 24 (County Rd 24) at Shopping Center Entrance (Plymouth Station),192.168.125.239
8049900,121,CSAH 121 (Fernbrook La) at Maple Grove SHS Entr,192.168.17.200
8049900,121,CSAH 121 (Fernbrook La) at Maple Grove SHS Entr,192.168.17.207
8050200,61,CO RD 47 (Pineview Lane) at CSAH 61 (Northwest Blvd) BACKHAUL,192.168.38.10
8050200,61,CO RD 47 (Pineview Lane) at CSAH 61 (Northwest Blvd) BACKHAUL,192.168.38.17
8050500,35,CSAH 35 (Portland Ave) at 64th St E,192.168.54.200
8050500,35,CSAH 35 (Portland Ave) at 64th St E,192.168.54.207
8050600,30,CSAH 30 (93rd Ave) at CSAH 103 (West Broadway),192.168.16.8
8006000,32,CSAH 32 (Penn Ave) at 90th St W,192.168.40.104
8050600,30,CSAH 30 (93rd Ave) at CSAH 103 (West Broadway),192.168.16.15
8050700,109,CSAH 109 (Weaver Lake Rd) at Main St,192.168.16.136
8050700,109,CSAH 109 (Weaver Lake Rd) at Main St,192.168.16.143
8050800,130,CSAH 130 (Elm Creek Blvd) at Main St - Master Controller,192.168.32.43
8050800,130,CSAH 130 (Elm Creek Blvd) at Main St - Master Controller,192.168.32.50
8050900,40,CSAH 40 (Glenwood Ave) at Xenia Ave S,192.168.132.168
8050900,40,CSAH 40 (Glenwood Ave) at Xenia Ave S,192.168.132.175
8006000,32,CSAH 32 (Penn Ave) at 90th St W,192.168.40.111
8051000,14,CSAH 14 (Zane Ave) at Regent Pkwy / Edinbrook School BACKHAUL,192.168.22.74
8051000,14,CSAH 14 (Zane Ave) at Regent Pkwy / Edinbrook School BACKHAUL,192.168.22.81
8051100,9,CSAH 9 (Rockford Rd) at Vicksburg Ln ,192.168.125.168
8051100,9,CSAH 9 (Rockford Rd) at Vicksburg Ln ,192.168.125.175
8051300,39,CSAH 39 (Valley View Rd) at Market Place Dr,192.168.112.40
8051300,39,CSAH 39 (Valley View Rd) at Market Place Dr,192.168.112.47
8051400,1,CSAH 1 (Pioneer Trail) at Dell Rd,192.168.122.72
8051400,1,CSAH 1 (Pioneer Trail) at Dell Rd,192.168.122.79
8051500,24,CSAH 24 (County Rd 24) at Medina Rd BACKHAUL,192.168.39.235
8051500,24,CSAH 24 (County Rd 24) at Medina Rd BACKHAUL,192.168.39.242
8051600,61,CSAH 61 (Northwest Blvd) at Schmidt Lake Rd BACKHAUL,192.168.38.43
8051600,61,CSAH 61 (Northwest Blvd) at Schmidt Lake Rd BACKHAUL,192.168.38.50
8051700,61,CSAH 61 (Xenium La N) at Sunset Trail,192.168.39.75
8051700,61,CSAH 61 (Xenium La N) at Sunset Trail,192.168.39.82
8006100,156,CSAH 156 (Winnetka Ave N) at Golden Valley Rd,192.168.24.171
8051900,109,CSAH 109 (85th Ave N) at Edinbrook Pkwy N,192.168.17.72
8051900,109,CSAH 109 (85th Ave N) at Edinbrook Pkwy N,192.168.17.79
8052000,1,CSAH 1 (Pioneer Trail) at Staring Lake Parkway,192.168.122.168
8052000,1,CSAH 1 (Pioneer Trail) at Staring Lake Parkway,192.168.122.175
8052100,1,CSAH 1 (Pioneer Trail) at Benett Place,192.168.122.232
8052100,1,CSAH 1 (Pioneer Trail) at Benett Place,192.168.122.239
8052200,30,CSAH 30 (93rd Ave) at Rice Lake Rd,192.168.25.235
8006100,156,CSAH 156 (Winnetka Ave N) at Golden Valley Rd,192.168.24.178
8052200,30,CSAH 30 (93rd Ave) at Rice Lake Rd,192.168.25.242
8052300,110,CSAH 110 (Commerce Blvd) at Sunnyfield Rd E,192.168.129.40
8052300,110,CSAH 110 (Commerce Blvd) at Sunnyfield Rd E,192.168.129.47
8052400,61,CSAH 61 (Northwest Blvd) at W Medicine Lake Dr,192.168.38.139
8052400,61,CSAH 61 (Northwest Blvd) at W Medicine Lake Dr,192.168.38.146
8052700,10,CSAH 10 (Bass Lake Rd) at Vicksburg Ln,192.168.27.232
8052700,10,CSAH 10 (Bass Lake Rd) at Vicksburg Ln,192.168.27.239
